station_id,place_name,province,latitude,longitude,country,api_source,alternative_name,timezone
00001,"Outer Wood Island, NB",NB,44.606836,-66.818208,Canada,CHS,,America/Moncton
00005,"Seal Cove, NB",NB,44.648709,-66.839677,Canada,CHS,,America/Moncton
00007,"Gannet Rock, NB",NB,44.510712,-66.781717,Canada,CHS,,America/Moncton
00010,"North Head, NB",NB,44.763118,-66.749,Canada,CHS,,America/Moncton
00015,"Welshpool, NB",NB,44.888903,-66.957557,Canada,CHS,,America/Moncton
00020,"Wilsons Beach, NB",NB,44.93183,-66.940664,Canada,CHS,,America/Moncton
00021,"East Quoddy Head, NB",NB,44.958056,-66.900556,Canada,CHS,,America/Moncton
00025,"Fairhaven, NB",NB,44.964381,-67.007419,Canada,CHS,,America/Moncton
00028,"McMaster Island, NB",NB,45.054307,-66.930853,Canada,CHS,,America/Moncton
00029,"Matthews Cove, NB",NB,45.052007,-66.894529,Canada,CHS,,America/Moncton
00030,"Letite Harbour, NB",NB,45.055804,-66.864833,Canada,CHS,"Letite, Black Bay, Back Bay",America/Moncton
00033,"Letang Harbour, NB",NB,45.084553,-66.783714,Canada,CHS,,America/Moncton
00035,"St. Stephen, NB",NB,45.191916,-67.276017,Canada,CHS,,America/Moncton
00040,"St. Andrews, NB",NB,45.0822524,-67.0845247,Canada,CHS,,America/Moncton
00041,"Long Island, NB",NB,45.149561,-66.961084,Canada,CHS,,America/Moncton
00042,"Blacks Harbour, NB",NB,45.047841,-66.807898,Canada,CHS,,America/Moncton
00044,"Beaver Harbour, NB",NB,45.06835,-66.739534,Canada,CHS,,America/Moncton
00046,"West Dipper Harbour, NB",NB,45.09284,-66.418731,Canada,CHS,Dipper Harbour West,America/Moncton
00052,"Five Fathom Hole, NB",NB,45.186598,-66.257278,Canada,CHS,,America/Moncton
00053,"Musquash Harbour, NB",NB,45.148535,-66.257932,Canada,CHS,,America/Moncton
00055,"Lorneville, NB",NB,45.192742,-66.14824,Canada,CHS,,America/Moncton
00060,"Partridge Island, NB",NB,45.241166,-66.052274,Canada,CHS,,America/Moncton
00065,"Saint John, NB",NB,45.254596,-66.06004,Canada,CHS,,America/Moncton
00066,"Reversing Falls, NB",NB,45.259,-66.087,Canada,CHS,Chutes réversibles,America/Moncton
00085,"Kennebecasis Bay, NB",NB,45.393261,-66.000923,Canada,CHS,,America/Moncton
00093,"Public Landing, NB",NB,45.405682,-66.195982,Canada,CHS,,America/Moncton
00097,"Hatfield Point, NB",NB,45.613801,-65.912438,Canada,CHS,,America/Moncton
00098,"Evandale, NB",NB,45.591594,-66.028695,Canada,CHS,,America/Moncton
00102,"Macdonald Point, NB",NB,45.71881,-66.04758,Canada,CHS,,America/Moncton
00103,"Cambridge Narrows, NB",NB,45.829482,-65.95297,Canada,CHS,,America/Moncton
00108,"Upper Gagetown, NB",NB,45.847241,-66.234799,Canada,CHS,,America/Moncton
00120,"Fredericton, NB",NB,45.966423,-66.65197,Canada,CHS,,America/Moncton
